656 5140
340 358 33
341 325 48
342 74 54
343 584 36
344 645 75
345 16 63
346 605 84
347 291 72
348 140 84
349 343 3
350 196 48
351 199 81
352 403 21
353 213 57
354 497 6
355 42 75
356 634 3
357 366 42
358 483 33
359 194 45
360 313 12
361 578 45
362 513 84
363 653 66
364 524 24
365 269 33
366 18 42
367 93 9
368 620 18
369 371 24
370 347 45
371 295 30
372 35 75
373 165 78
374 82 36
375 169 6
376 646 78
377 526 30
378 334 84
379 39 6
380 581 75
381 178 63
382 633 18
383 583 12
384 98 72
385 354 6
386 534 69
387 652 45
388 433 51
389 431 6
390 553 21
391 218 12
392 585 21
393 191 57
394 592 63
395 614 30
396 117 84
397 406 6
398 380 27
399 638 6
400 635 27
401 447 39
402 258 15
403 19 60
404 530 30
405 406 78
406 616 6
407 602 60
408 32 6
409 437 6
410 3 39
411 246 3
412 82 21
413 476 6
414 456 33
415 212 51
416 333 9
417 247 45
418 257 18
419 447 66
420 277 27
421 583 12
422 439 66
423 311 57
424 260 9
425 158 39
426 112 48
427 131 57
428 361 48
429 162 42
430 343 39
431 526 48
432 69 57
433 166 12
434 188 6
435 216 6
436 179 75
437 17 15
438 356 33
439 483 54
440 596 54
441 31 66
442 467 75
443 46 6
444 297 78
445 553 66
446 224 30
447 68 6
448 652 72
449 553 30
450 371 48
451 536 39
452 45 60
453 610 33
454 364 15
455 81 57
456 639 3
457 362 9
458 471 72
459 378 63
460 197 33
461 204 42
462 602 54
463 529 54
464 256 27
465 540 12
466 507 66
467 189 33
468 241 54
469 326 12
470 533 21
471 274 78
472 487 3
473 327 15
474 65 63
475 153 21
476 550 3
477 427 9
478 422 57
479 335 51
480 397 54
481 10 51
482 623 72
483 198 3
484 626 51
485 98 51
486 189 72
487 248 3
488 193 21
489 452 54
490 170 3
491 638 84
492 53 78
493 247 12
494 269 30
495 243 12
496 110 24
497 286 72
498 409 6
499 350 72
500 177 48
501 206 63
502 420 42
503 78 48
504 216 69
505 229 6
506 527 15
507 15 30
508 588 30
509 539 42
510 641 78
511 338 15
512 647 63
513 314 24
514 593 21
515 135 66
516 271 51
517 367 72
518 70 24
519 609 60
520 441 30
521 625 45
522 386 57
523 303 45
524 277 48
525 426 6
526 353 3
527 1 6
528 90 81
529 323 78
530 572 21
531 627 18
532 371 51
533 549 39
534 402 69
535 293 12
536 435 66
537 163 45
538 99 3
539 439 24
540 174 72
541 32 27
542 517 45
543 604 6
544 523 33
545 232 30
546 531 9
547 597 60
548 247 66
549 157 69
550 621 21
551 602 78
552 322 39
553 155 6
554 373 6
555 409 9
556 326 78
557 360 54
558 530 36
559 560 24
560 642 84
561 54 54
562 568 39
563 25 54
564 348 30
565 7 12
566 537 75
567 115 69
568 530 18
569 4 84
570 575 30
571 152 63
572 180 69
573 193 24
574 144 18
575 144 33
576 104 45
577 53 54
578 325 45
579 533 15
580 398 42
581 320 3
582 341 60
583 117 66
584 480 6
585 586 24
586 148 48
587 377 39
588 644 42
589 126 81
590 56 69
591 622 72
592 597 75
593 244 69
594 607 84
595 350 51
596 646 39
597 568 6
598 175 60
599 160 66
600 307 42
601 646 15
602 12 72
603 464 66
604 587 3
605 194 24
606 504 45
607 456 12
608 171 15
609 47 57
610 71 42
611 4 75
612 334 72
613 442 72
614 62 39
615 124 48
616 43 36
617 218 57
618 593 69
619 243 51
620 60 48
621 279 51
622 578 6
623 100 60
624 58 54
625 639 69
626 322 57
627 575 60
628 447 72
629 9 24
630 595 6
631 313 6
632 27 75
633 211 9
634 15 54
635 131 66
636 610 48
637 322 9
638 281 54
639 208 30
640 361 78
641 64 6
642 628 36
643 433 27
644 620 6
645 654 48
646 65 15
647 77 51
648 216 27
649 33 39
650 257 15
651 588 30
652 521 84
653 332 3
654 599 39
655 515 63
656 266 36
504 280 9
60 346 17
255 182 12
345 86 21
60 576 9
3 32 65
174 432 25
516 544 68
366 115 18
39 584 53
633 67 31
330 150 21
396 47 70
474 353 68
18 348 67
402 348 63
156 398 32
72 442 36
651 164 27
369 644 19
492 579 35
615 422 59
132 125 70
318 639 31
525 400 66
228 112 78
147 274 74
144 504 29
519 518 3
435 172 19
594 219 65
498 125 36
453 421 6
57 291 15
288 1 41
525 101 11
219 80 37
252 545 53
555 27 47
297 198 67
654 8 9
510 59 36
33 629 70
117 299 13
195 608 40
405 353 4
81 380 79
339 32 19
600 48 36
438 459 36
36 132 64
399 523 77
480 419 46
486 376 38
84 454 52
351 28 2
423 299 2
372 217 15
333 91 37
6 427 47
570 235 12
378 635 79
294 123 18
360 327 39
240 273 55
132 301 15
249 244 39
249 534 25
267 250 16
246 460 78
501 308 2
141 385 75
144 473 11
69 588 9
162 469 80
612 406 58
627 470 5
318 373 71
324 556 24
45 526 21
30 176 60
27 143 21
156 438 5
99 106 9
27 643 58
444 594 60
84 25 56
627 278 3
162 498 12
96 624 77
462 204 35
474 33 21
552 444 55
501 653 21
372 542 58
45 24 67
381 153 49
363 339 66
111 20 42
222 581 7
117 99 7
222 285 79
150 183 23
579 160 68
459 180 76
606 197 43
105 114 39
111 383 62
528 145 76
348 105 17
441 403 75
186 219 13
417 524 68
270 302 24
111 426 14
156 135 12
534 59 47
6 354 42
441 415 9
117 136 12
597 175 13
498 438 80
633 237 62
642 139 70
630 58 48
516 178 21
258 278 73
105 159 24
132 292 39
327 651 19
195 161 16
426 91 60
642 76 45
582 10 4
150 331 38
369 651 74
480 315 4
258 387 66
378 474 60
36 603 54
216 14 23
612 354 9
483 597 73
345 105 23
87 190 10
282 149 70
600 41 9
351 191 37
591 39 13
261 233 9
597 562 23
576 47 40
498 367 33
360 521 20
252 255 15
180 52 9
114 615 5
471 490 34
285 282 47
162 88 24
618 469 62
234 356 50
174 161 18
531 313 53
393 502 61
441 578 26
570 109 9
411 370 33
42 359 8
621 64 49
483 647 68
519 560 2
132 362 1
444 250 3
549 297 37
441 155 9
537 99 43
282 26 9
624 451 79
228 313 5
483 196 22
492 357 3
531 332 31
231 276 72
612 121 20
546 326 24
492 581 32
264 136 38
345 365 81
105 322 37
318 23 54
510 240 23
375 191 80
39 577 43
483 644 79
63 18 25
213 445 25
228 513 32
93 456 60
48 649 32
408 303 27
117 10 77
57 489 12
144 49 13
210 32 25
630 411 45
129 218 46
60 128 80
642 439 69
6 273 10
201 297 35
654 286 14
189 582 29
300 209 46
210 458 26
120 536 57
381 1 25
612 525 14
339 383 56
444 373 49
387 58 26
636 81 82
300 84 59
285 50 6
300 574 16
465 531 3
390 611 71
345 2 5
12 374 41
567 606 31
597 332 28
273 611 53
342 526 3
627 540 77
612 454 39
405 614 57
477 492 14
285 65 19
567 189 5
225 359 9
279 594 20
21 388 51
600 475 23
444 513 70
405 57 71
369 292 26
477 566 79
123 360 79
627 263 70
471 544 6
606 619 70
264 549 21
174 441 70
255 256 17
453 633 47
90 122 73
195 526 6
27 372 53
366 603 3
585 182 1
219 540 65
429 348 74
39 561 21
600 638 80
342 266 23
279 438 46
339 437 78
546 443 13
531 643 17
618 175 73
246 653 59
432 561 82
48 496 7
27 309 38
456 418 42
330 608 44
636 353 54
174 434 57
252 489 59
243 322 74
423 28 68
132 182 76
87 60 18
591 289 33
603 601 15
375 157 73
162 292 79
27 473 68
375 186 2
300 319 37
114 538 4
642 651 61
9 252 5
174 503 3
243 613 49
498 57 41
609 553 6
63 425 53
252 495 20
429 188 55
351 5 6
189 439 59
57 571 29
165 84 41
588 465 35
357 379 13
555 157 69
123 178 11
615 638 59
27 547 24
306 427 11
561 348 14
27 365 57
252 117 50
351 81 77
330 493 63
186 276 11
297 88 63
84 271 17
381 472 67
336 523 28
144 92 76
234 435 57
552 91 25
483 534 41
372 96 78
12 572 70
18 50 9
600 648 59
225 322 16
459 97 21
324 247 63
207 633 6
156 165 42
177 553 13
84 412 60
621 142 29
111 224 40
516 71 45
84 230 71
288 417 8
636 557 64
285 473 24
273 184 35
588 226 68
285 25 39
351 495 61
30 333 19
492 518 20
207 116 77
297 48 41
507 404 28
606 170 75
45 130 39
375 347 28
513 23 71
21 221 3
96 486 24
291 72 58
282 148 60
438 200 38
39 538 50
132 92 44
510 162 6
459 105 27
69 556 82
129 352 50
576 288 71
417 562 39
303 567 29
399 326 2
546 296 1
396 41 69
612 154 75
81 180 81
456 181 9
177 489 42
180 22 20
27 434 63
111 320 66
444 155 34
654 105 43
564 58 11
204 624 34
543 23 15
600 373 78
471 21 65
75 583 65
333 238 62
507 43 16
348 178 42
30 394 10
252 217 7
450 300 9
303 552 81
372 285 40
93 310 22
315 608 22
357 56 62
654 618 80
606 110 64
60 190 18
426 532 75
246 119 52
411 637 29
123 176 31
522 215 75
309 542 4
204 414 39
411 600 60
234 160 77
87 362 35
249 105 25
108 250 41
252 571 30
420 560 77
429 462 79
288 294 77
9 616 70
630 121 28
105 475 58
534 471 43
234 127 62
234 651 14
27 371 62
360 272 80
150 644 2
192 397 50
33 73 39
609 587 79
405 460 49
495 224 18
573 187 37
270 411 12
357 48 47
54 92 3
171 44 55
603 536 71
117 545 18
438 133 3
174 245 2
36 95 13
354 283 51
60 20 74
69 161 79
30 103 7
276 157 44
468 617 8
522 127 43
222 178 12
15 604 48
204 41 36
510 290 65
51 581 17
48 55 17
171 509 58
135 507 73
465 401 58
528 203 28
459 397 2
195 620 12
279 148 76
342 223 31
474 251 41
75 114 42
237 328 69
24 497 79
513 226 62
216 200 23
15 161 79
327 533 21
75 457 16
120 425 28
501 533 54
621 325 41
630 345 43
552 46 38
489 175 66
651 3 76
579 302 68
630 267 11
480 250 8
594 340 28
222 336 6
96 349 68
321 172 72
30 523 22
588 567 82
345 262 17
594 257 65
72 502 47
510 145 72
129 645 40
210 309 24
300 650 56
603 382 68
375 504 58
615 11 4
600 373 9
540 336 67
597 252 14
138 251 70
417 377 7
105 459 36
297 256 71
141 502 59
27 374 58
177 38 62
330 486 53
192 52 59
267 471 67
345 413 64
48 487 77
138 579 60
258 373 76
531 553 71
51 65 9
585 621 40
624 206 33
123 122 28
144 257 23
582 103 6
591 37 39
516 436 6
192 243 41
582 509 61
537 3 10
450 59 4
114 451 35
414 467 26
639 492 6
528 15 55
174 597 52
93 488 32
234 357 77
99 35 6
201 50 81
261 277 70
219 87 9
327 264 9
144 73 65
120 215 11
582 534 58
276 193 20
507 620 37
354 110 49
585 411 55
267 107 51
510 537 28
543 540 34
624 207 38
120 634 9
63 559 75
606 389 77
651 283 1
321 552 40
9 445 81
45 361 5
612 443 77
564 358 7
111 94 13
375 579 59
267 550 1
54 346 37
96 33 5
294 36 34
303 178 61
57 587 17
330 571 59
306 326 66
57 62 2
486 146 51
60 556 33
273 377 11
294 192 12
393 269 73
3 329 5
1 196 70
246 103 78
594 188 64
384 515 54
135 337 6
495 118 9
444 447 63
519 408 74
435 531 23
96 243 29
99 53 76
120 593 27
516 56 62
147 646 13
105 553 46
336 492 43
189 42 35
597 184 57
507 62 55
291 265 4
315 239 65
570 37 72
135 244 7
363 218 70
63 115 18
477 623 60
390 367 16
237 24 24
588 50 81
441 117 43
63 309 8
618 505 47
582 34 5
108 263 39
177 200 8
357 185 78
3 129 79
33 552 5
180 196 47
501 647 74
102 545 57
447 338 55
63 242 13
210 523 5
135 459 59
450 62 64
372 110 68
48 339 42
594 587 51
615 36 36
1 46 9
579 242 7
246 327 6
573 88 16
30 115 2
3 156 5
624 172 30
102 64 65
42 39 70
267 95 37
465 484 1
138 34 19
243 83 2
132 398 8
249 8 57
285 457 39
381 98 65
348 576 12
312 422 11
228 233 61
357 400 31
210 635 51
198 477 46
501 116 60
345 72 17
345 132 12
585 420 60
432 5 26
207 289 29
621 438 73
588 254 11
279 535 60
123 270 23
15 256 51
174 550 11
585 503 15
573 597 2
318 624 6
150 186 56
225 562 34
342 78 50
201 602 42
36 33 31
201 503 28
150 527 23
321 425 55
42 288 6
138 349 82
471 272 80
459 333 43
246 329 45
378 348 29
399 334 39
222 241 22
63 278 41
105 37 15
504 268 64
453 503 10
369 367 31
597 310 56
210 359 80
504 9 8
537 26 46
186 240 44
93 382 80
420 218 27
612 515 30
90 10 43
654 221 24
138 592 77
645 408 29
378 203 28
579 582 9
303 186 9
528 202 37
273 195 75
483 301 61
630 359 45
399 42 9
537 297 26
546 477 64
195 354 5
654 611 66
426 256 64
222 442 11
342 629 71
207 217 79
324 252 23
444 583 62
186 213 57
141 527 29
123 237 30
81 627 40
138 163 49
261 384 70
501 337 58
357 26 41
405 414 34
192 285 54
606 105 78
648 530 17
333 197 23
633 180 45
561 110 59
540 581 79
57 645 70
189 597 30
549 491 66
3 580 27
480 239 44
354 32 62
24 446 62
42 496 39
345 438 18
105 72 82
273 372 14
186 49 23
105 633 16
225 343 70
126 292 33
309 164 71
648 464 22
630 394 70
285 317 39
102 470 12
630 143 17
471 560 29
375 366 1
561 278 51
324 377 61
507 190 61
3 462 14
213 38 64
435 656 35
264 508 82
237 350 18
357 595 39
459 553 24
90 565 48
342 636 48
285 353 62
156 82 8
600 431 37
621 507 53
54 288 7
597 288 9
114 65 60
21 379 12
546 460 56
552 504 54
102 610 80
246 414 16
36 93 51
69 109 20
117 8 68
588 70 40
144 27 61
525 22 33
585 226 46
300 523 9
255 79 19
24 384 48
381 609 32
570 116 67
261 117 6
579 414 46
624 268 49
345 210 57
477 579 73
30 417 64
336 217 42
114 425 6
459 499 82
255 107 30
594 285 59
312 7 48
525 561 9
531 8 79
468 149 4
585 42 4
258 611 10
576 288 9
255 101 37
468 159 31
597 509 18
576 533 16
579 522 60
357 258 30
339 39 76
57 636 81
531 523 24
153 41 19
432 366 46
636 401 27
579 496 25
138 597 23
132 648 37
51 397 67
315 29 38
369 392 20
57 132 75
315 119 73
24 495 8
270 427 6
39 496 45
648 514 46
168 77 45
240 138 35
93 228 33
522 141 4
171 147 71
471 368 32
405 229 38
453 419 58
189 525 46
159 323 56
633 352 13
429 80 81
63 635 73
267 536 57
270 67 42
324 328 55
180 154 54
462 68 57
33 159 26
618 449 64
378 43 4
606 543 57
252 329 22
315 422 70
342 233 53
369 68 32
51 195 82
339 538 14
369 576 55
606 104 43
267 113 17
372 327 18
579 265 9
549 562 71
186 544 79
501 567 32
198 370 72
36 571 1
222 300 34
84 155 63
87 403 40
516 114 8
171 401 79
363 411 4
495 467 37
489 641 77
180 149 42
366 117 40
204 358 82
546 504 77
162 570 9
549 363 57
339 555 67
300 430 81
468 88 32
519 502 6
66 605 75
96 75 6
474 42 17
423 111 37
66 26 79
249 439 53
369 503 1
306 272 39
537 398 4
189 635 17
636 632 43
123 506 67
465 236 51
510 72 46
534 476 32
477 581 23
474 257 81
438 463 54
591 85 31
516 149 58
285 4 2
84 145 7
159 210 18
408 625 22
561 401 71
543 408 47
588 169 52
291 347 30
393 598 54
132 345 16
552 19 40
597 41 15
579 246 35
426 409 12
588 132 41
522 272 70
96 463 37
516 90 62
384 296 32
189 306 24
72 55 81
396 593 15
33 323 45
495 649 50
153 401 47
180 95 14
198 604 38
141 167 48
504 267 44
579 306 39
288 233 9
171 539 53
636 118 55
225 16 70
54 242 81
561 359 1
222 306 73
465 4 68
354 522 80
606 602 71
300 226 9
9 492 66
537 443 65
369 424 33
213 101 38
459 632 15
90 600 47
561 423 47
264 519 7
312 85 11
45 288 15
273 149 76
60 604 10
141 488 72
351 197 77
477 335 32
534 67 75
84 510 25
378 290 36
267 588 74
300 207 40
105 52 63
384 164 13
306 387 30
135 76 28
498 397 75
372 374 76
345 95 31
378 466 8
381 50 41
225 592 63
423 47 49
582 481 80
651 500 75
366 187 12
288 389 67
591 244 78
513 1 2
153 420 3
111 210 64
234 436 13
378 371 14
645 252 33
372 438 44
6 626 9
576 409 80
441 603 58
426 153 71
159 81 67
456 548 53
162 649 57
402 462 46
96 448 27
180 86 49
270 289 59
645 464 1
150 191 38
264 13 71
504 305 65
450 55 55
285 342 41
81 123 68
348 335 29
30 191 29
369 448 3
93 455 67
273 186 21
417 411 73
330 654 12
321 181 54
387 91 41
195 465 34
324 505 37
24 297 78
546 470 17
522 637 44
48 520 38
372 171 80
555 354 50
606 32 17
645 115 37
126 621 4
564 587 53
117 144 28
300 452 28
54 202 25
33 288 8
516 349 10
57 418 41
33 20 16
639 336 21
579 631 7
519 18 1
159 241 23
207 642 19
111 508 14
468 325 80
39 435 51
312 535 16
306 286 80
483 215 57
162 566 62
531 637 50
645 331 53
453 284 8
456 102 34
174 512 17
339 348 78
114 119 21
123 245 44
249 131 1
243 555 61
141 361 22
648 284 70
462 516 13
27 127 60
363 528 22
591 292 36
609 369 75
252 560 80
27 261 46
288 467 3
507 123 56
321 132 4
285 489 28
336 395 5
120 234 39
618 594 16
600 484 36
501 536 35
597 277 9
369 637 14
258 347 13
525 580 55
564 133 68
129 102 17
645 409 48
456 302 17
291 242 1
561 465 67
138 452 71
249 488 18
633 361 49
471 206 26
138 304 56
33 613 33
246 610 75
465 225 9
123 518 62
315 474 70
72 576 72
342 545 58
90 20 28
324 46 15
177 46 5
219 540 77
93 213 35
6 613 25
444 613 52
537 449 9
345 154 2
654 32 82
543 528 9
537 4 16
306 250 24
60 531 70
474 499 51
204 540 79
126 251 79
489 396 62
180 373 55
558 241 66
75 133 6
555 506 72
519 365 27
408 219 24
384 452 5
423 516 79
447 206 16
504 300 2
33 12 59
36 368 9
186 289 33
156 470 36
273 233 79
462 162 53
147 122 49
441 283 6
60 94 33
393 335 4
294 425 12
339 445 20
45 52 52
639 343 9
99 410 60
123 68 59
90 471 29
72 168 1
501 421 37
378 151 39
153 230 69
243 500 55
225 316 37
303 314 29
618 129 12
414 131 74
300 524 77
546 136 82
624 138 37
432 300 63
648 464 59
261 99 74
264 511 74
117 352 77
402 70 14
471 216 37
540 106 39
492 424 4
30 31 18
138 555 64
126 284 75
135 631 23
198 158 44
339 640 66
621 505 42
432 346 72
333 650 21
387 334 56
225 555 49
624 620 15
483 52 15
297 473 1
375 440 54
282 565 31
246 84 65
555 463 20
387 591 33
219 171 56
120 116 12
582 278 44
630 305 69
588 37 7
237 143 11
366 132 74
408 139 39
321 56 82
42 567 41
336 350 31
456 368 73
345 151 74
174 212 11
471 185 7
342 340 66
171 573 17
357 258 35
135 397 31
531 575 10
273 596 57
555 449 22
243 410 6
33 80 24
201 489 17
450 163 17
141 288 66
42 582 70
180 25 14
309 324 70
522 445 73
498 296 68
174 468 56
315 8 67
594 88 64
6 9 71
261 358 68
450 78 9
462 18 66
264 460 8
285 243 8
639 421 32
252 622 3
270 448 26
429 651 25
531 459 42
651 18 17
276 416 39
384 116 31
234 635 6
531 143 81
369 402 52
129 259 44
231 52 29
537 327 10
63 471 4
279 257 21
105 265 72
456 596 50
633 345 65
369 30 75
573 224 21
429 469 28
102 25 24
204 148 30
84 214 28
141 317 74
33 291 69
414 313 9
66 174 77
414 11 82
246 350 71
297 460 71
402 455 37
612 404 19
459 478 35
651 314 78
642 101 47
387 220 7
342 135 44
9 470 21
567 378 48
573 459 64
162 364 81
414 464 55
417 431 12
198 190 30
609 590 68
495 100 66
642 179 9
30 580 67
507 371 52
414 27 35
450 103 42
414 36 34
432 339 2
552 627 54
270 651 34
630 27 49
18 392 60
117 258 53
264 653 5
216 410 47
9 32 75
429 195 8
546 453 55
21 379 20
213 392 47
540 115 37
630 450 7
111 598 2
363 467 51
279 440 10
333 415 69
270 574 28
363 289 41
537 387 72
597 189 6
591 24 33
15 143 75
360 103 10
300 559 35
249 327 39
480 162 31
357 266 45
438 292 48
624 634 59
267 518 50
432 262 13
75 98 48
90 498 16
474 12 1
111 320 3
513 220 41
6 88 78
192 416 65
579 569 25
444 442 19
597 102 42
600 106 61
651 47 74
39 292 7
141 158 18
243 66 9
330 57 81
609 353 43
333 63 14
138 214 15
33 353 8
255 316 35
93 364 38
114 587 38
588 327 40
612 648 59
114 453 21
312 144 60
366 108 24
135 35 78
66 319 68
546 564 50
336 444 10
192 647 41
447 440 17
336 554 42
390 458 52
375 118 74
420 120 79
246 506 33
30 644 46
168 160 82
639 279 77
576 149 3
519 220 71
324 236 13
513 637 17
75 529 38
606 328 62
54 417 8
219 120 42
363 597 16
471 205 1
528 401 47
588 636 71
102 162 65
498 178 54
645 275 58
384 446 56
525 260 53
153 473 26
210 211 75
582 602 56
471 509 51
51 511 72
330 534 33
570 374 46
159 217 39
402 306 49
636 35 26
402 437 63
516 214 2
63 362 54
576 466 40
477 334 66
501 314 7
141 105 12
54 493 62
504 192 69
279 419 78
21 105 76
84 264 75
501 64 52
627 128 63
507 528 46
384 45 64
315 180 26
354 516 34
261 384 25
300 294 54
135 163 18
186 499 79
564 200 37
126 425 77
216 443 48
639 293 34
1 332 18
69 302 47
30 71 75
111 124 74
57 83 29
540 264 33
282 12 9
540 549 36
150 577 35
642 23 43
165 345 78
183 36 75
633 197 58
228 187 63
423 554 75
408 585 14
432 152 82
384 419 25
162 615 61
120 581 75
6 643 47
612 201 11
606 262 81
489 359 41
363 143 25
495 116 36
399 57 40
255 617 74
51 373 61
510 198 45
396 62 26
507 453 18
495 127 80
543 522 6
507 328 69
435 415 76
153 93 54
555 11 44
165 209 10
351 204 63
372 331 13
510 16 69
552 102 75
282 456 68
57 227 47
519 111 66
633 531 75
357 656 12
453 302 48
21 368 4
216 144 64
108 55 70
609 81 75
198 17 59
51 280 13
222 495 40
96 597 69
417 392 54
360 386 76
300 169 63
216 530 44
216 530 18
66 509 61
378 428 25
423 60 24
555 502 45
120 93 22
27 558 48
363 280 59
96 305 66
501 27 10
18 190 39
300 366 27
180 379 10
225 648 27
525 418 82
285 43 64
156 96 52
402 473 65
363 134 41
573 265 9
363 247 18
654 182 22
525 576 57
615 51 47
483 339 43
165 209 21
204 389 64
213 611 10
207 237 3
651 158 32
648 195 73
417 387 60
195 114 21
516 30 72
162 196 64
225 611 59
264 360 1
501 192 13
471 602 48
438 615 80
336 620 28
402 199 26
594 234 18
204 391 22
135 440 45
642 203 23
24 219 55
303 607 78
633 607 21
504 650 19
255 592 27
162 134 46
648 403 41
45 158 32
522 152 24
372 123 52
441 551 6
636 162 39
330 533 32
501 398 17
216 541 33
546 64 73
129 63 30
369 309 17
633 562 81
384 576 56
249 198 60
537 262 82
126 175 31
243 631 47
183 360 18
255 20 32
633 500 48
423 154 77
354 3 71
228 466 41
378 584 71
420 336 61
75 144 31
369 85 16
36 304 37
69 156 12
585 284 32
555 411 66
123 554 32
594 62 82
534 561 60
96 234 74
300 139 15
15 451 30
375 487 33
237 272 69
588 91 35
540 417 67
258 379 62
48 426 13
192 396 61
576 416 30
483 632 78
18 474 8
639 144 9
273 288 79
192 8 72
459 162 9
39 501 18
516 26 41
438 447 65
174 502 76
432 503 42
39 639 71
213 53 25
531 231 45
228 263 19
405 569 45
612 189 8
579 135 69
336 594 3
303 538 31
318 185 9
570 214 4
627 258 70
570 372 68
1 309 45
453 581 82
210 388 34
609 91 36
318 542 50
612 203 52
543 653 78
570 120 28
57 191 19
564 114 29
459 425 78
360 9 52
423 361 76
291 383 6
312 624 52
609 20 82
645 360 14
621 409 76
303 100 19
39 76 33
186 140 44
579 413 32
201 101 68
504 195 57
594 220 59
354 257 34
48 6 49
246 131 29
273 368 34
396 10 52
48 569 33
378 638 61
228 372 58
234 585 14
390 583 6
285 50 6
429 474 7
150 597 62
396 341 21
477 329 68
324 418 53
276 246 61
453 390 58
453 105 79
51 472 61
6 639 11
417 190 44
438 421 28
261 130 12
324 233 56
342 210 45
594 643 62
135 238 62
507 389 42
108 37 5
282 356 55
75 233 68
42 105 51
519 83 37
441 607 3
321 340 74
288 369 13
126 210 16
240 225 53
180 50 24
420 424 1
537 285 56
474 380 47
465 451 30
237 144 79
51 451 30
537 418 63
579 511 3
552 404 4
351 151 41
609 41 28
51 597 80
105 561 65
357 500 1
603 364 67
456 585 36
51 554 81
